custom,db_name,table_name,column_name,position,data_type,max_length,constraint,db_referenced,table_referenced,column_referenced
custom,urbalert,asignacion,id,1,uuid,N,PRIMARY KEY,N,N,N
custom,urbalert,asignacion,reporte_id,2,uuid,N,FOREIGN KEY,urbalert,reporte,id
custom,urbalert,asignacion,autoridad_id,3,uuid,N,FOREIGN KEY,urbalert,autoridad,id
custom,urbalert,asignacion,tipo,4,character varying,20,N,N,N,N
custom,urbalert,asignacion,motivo,5,text,N,N,N,N,N
custom,urbalert,asignacion,asignado_por,6,uuid,N,FOREIGN KEY,urbalert,usuario,id
custom,urbalert,asignacion,created_at,7,timestamp with time zone,N,N,N,N,N
custom,urbalert,autoridad,id,1,uuid,N,PRIMARY KEY,N,N,N
custom,urbalert,autoridad,usuario_id,2,uuid,N,FOREIGN KEY,urbalert,usuario,id
custom,urbalert,autoridad,categoria_id,3,uuid,N,FOREIGN KEY,urbalert,categoria,id
custom,urbalert,autoridad,sector_id,4,uuid,N,FOREIGN KEY,urbalert,sector,id
custom,urbalert,autoridad,departamento,5,character varying,150,N,N,N,N
custom,urbalert,autoridad,carga_ponderada,6,integer,N,N,N,N,N
custom,urbalert,autoridad,reportes_activos,7,integer,N,N,N,N,N
custom,urbalert,autoridad,activo,8,boolean,N,N,N,N,N
custom,urbalert,categoria,id,1,uuid,N,PRIMARY KEY,N,N,N
custom,urbalert,categoria,nombre,2,character varying,100,N,N,N,N
custom,urbalert,ciudadano,id,1,uuid,N,PRIMARY KEY,N,N,N
custom,urbalert,ciudadano,usuario_id,2,uuid,N,FOREIGN KEY,urbalert,usuario,id
custom,urbalert,ciudadano,estado_cuenta,3,character varying,20,N,N,N,N
custom,urbalert,ciudadano,reportes_falsos,4,integer,N,N,N,N,N
custom,urbalert,colonia_poligono,id,1,uuid,N,PRIMARY KEY,N,N,N
custom,urbalert,colonia_poligono,nombre,2,character varying,150,N,N,N,N
custom,urbalert,colonia_poligono,municipio,3,character varying,100,N,N,N,N
custom,urbalert,colonia_poligono,cp,4,character varying,5,N,N,N,N
custom,urbalert,colonia_poligono,sector_id,5,uuid,N,FOREIGN KEY,urbalert,sector,id
custom,urbalert,colonia_poligono,geom,6,USER-DEFINED,N,N,N,N,N
custom,urbalert,colonia_sector,id,1,uuid,N,PRIMARY KEY,N,N,N
custom,urbalert,colonia_sector,sector_id,2,uuid,N,FOREIGN KEY,urbalert,sector,id
custom,urbalert,colonia_sector,nombre_colonia,3,character varying,150,N,N,N,N
custom,urbalert,colonia_sector,municipio,4,character varying,100,N,N,N,N
custom,urbalert,foto_reporte,id,1,uuid,N,PRIMARY KEY,N,N,N
custom,urbalert,foto_reporte,reporte_id,2,uuid,N,FOREIGN KEY,urbalert,reporte,id
custom,urbalert,foto_reporte,url_cloudinary,3,text,N,N,N,N,N
